ITEM DESCRIPTION,FINISH / COLOR,PART NUMBER,SECTION,APPLICATION,MANUFACTURER,VENDOR,STANDARD / OPTION,option type,QTY,PRICE EACH,PRICE TOTAL
"Amplifier - 5-Channel Class D Marine System Amplifier, 1000W",Black,010-03113-00,Final Rigging (CONSOLE),standard amp that allows you to use 4 speakers and 2 sets of subs,JL Audio,Garmin,STANDARD,,1,$472.49,$472.49
1000/5 Backing Pad,Black,,Final Rigging (CONSOLE),this offsets the amplifier for the bolts the top uses,,Waterway Systems,STANDARD,,1,$25.00,$25.00
2-Channel Marine Audio Int. Cable - 6' (MS-RCA6),White,010-13658-00,Final Rigging (CONSOLE),"W / Amp
these connect the amplifier to the stereo",JL Audio,Garmin,STANDARD,,1,$11.01,$11.01
"Amplifier 2-Channel Class D Marine System Amplifier, 200W",Black,010-03114-00,Final Rigging (CONSOLE) - OPTION,this allows you to add 2 speakers,JL Audio,Garmin,OPTION,stereo upgrade,1,$238.49,$238.49
200/2 Backing Pad,Black,,Final Rigging (CONSOLE) - OPTION,this offsets the amplifier for the bolts the top uses,,Waterway Systems,OPTION,stereo upgrade,1,$18.00,$18.00
"Amplifier 4-Channel Class D Marine System Amplifier, 400W",Black,010-03115-00,Final Rigging (CONSOLE) - OPTION,this allows you to add 4 speakers,JL Audio,Garmin,OPTION,stereo upgrade,1,$305.99,$305.99
400/4 Backing Pad,Black,,Final Rigging (CONSOLE) - OPTION,this offsets the amplifier for the bolts the top uses,,Waterway Systems,OPTION,stereo upgrade,1,$18.00,$18.00
"Amplifier 1-Channel Class D Marine System Amplifier, 600W",Black,010-03116-00,Final Rigging (CONSOLE) - OPTION,this is a mono amp ment for subwoofers only,JL Audio,Garmin,OPTION,stereo upgrade,1,$283.49,$283.49
600/1 Backing Pad,Black,,Final Rigging (CONSOLE) - OPTION,this offsets the amplifier for the bolts the top uses,,Waterway Systems,OPTION,stereo upgrade,1,$20.00,$20.00
"Amplifier 6-Channel Class D Marine System Amplifier, 600W",Black,010-03117-00,Final Rigging (CONSOLE) - OPTION,this allows you to add 6 speakers,JL Audio,Garmin,OPTION,stereo upgrade,1,$373.49,$373.49
600/6 Backing Pad,Black,,Final Rigging (CONSOLE) - OPTION,this offsets the amplifier for the bolts the top uses,,Waterway Systems,OPTION,stereo upgrade,1,$20.00,$20.00
"Amplifier 8-Channel Class D Marine System Amplifier, 800W",Black,010-03119-00,Final Rigging (CONSOLE) - OPTION,this allows you to add 8 speakers,JL Audio,Garmin,OPTION,stereo upgrade,1,$494.99,$494.99
800/8 Backing Pad,Black,,Final Rigging (CONSOLE) - OPTION,this offsets the amplifier for the bolts the top uses,,Waterway Systems,OPTION,stereo upgrade,1,$25.00,$25.00
2-Channel Marine Audio Int. Cable - 6' (MS-RCA6),White,010-13658-00,Final Rigging (CONSOLE),"W / Extra Amp
one set per amplifier to connect to the stereo",JL Audio,Garmin,OPTION,stereo upgrade,1,$11.01,$11.01
"Tweeter - JL M6 1"" White / White (Pair Only)",White,010-03379-00,Final Rigging (CONSOLE) - OPTION,,JL Audio,Garmin,OPTION - OPTION,stereo upgrade,1,$91.99,$91.99
"Tweeter - JL M6 1"" Gunmetal / Titanium (Pair Only)",GUNMETAL / TITANIUM,010-03501-00,Final Rigging (CONSOLE) - OPTION,,JL Audio,Garmin,OPTION - OPTION,stereo upgrade,1,$91.99,$91.99
Garmin GXM-54,White,010-02277-00,Final Rigging (CONSOLE) - OPTION,"this is the XMradio and Weather
the antenna goes on the top and the module goes in the console
we pass to the console and they give the rest to the hardtop person",Garmin,Garmin,OPTION,xm radio/weather,1,$552.49,$552.49
Adapter Cable - BlueNet to RJ45 Female,Black,010-13094-00,Final Rigging (CONSOLE) - OPTION,"W / GXM54
this converts a bluenet cable to RJ45 network
RJ45 is the old garmin network they are trying to push out",Garmin,Garmin,OPTION,garmin,1,$19.49,$19.49
WM-4 Satellite Weather Antenna,White,000-14970-001,Final Rigging (CONSOLE) - OPTION,Simrad XM/Weather antenna and module,Navico,Navico,OPTION,xm radio/weather,1,$338.82,$338.82
Reactor™ 40 Hydraulic Corepack with SmartPump v2 Without GHC™ Autopilot Instrument,Black,010-00705-78,Final Rigging (CONSOLE) - OPTION,this is the garmin autopilot kit that has the pump and the reactor 40 for a compass,Garmin,Garmin,OPTION,garmin auto pilot,1,"$2,534.99","$2,534.99"
Verado Adapter Kit,Brass,010-11202-02,Final Rigging (CONSOLE) - OPTION,"W / Autopilot
this is used for hydraulic steering only
and for garmin only",Garmin,Garmin,OPTION,garmin auto pilot,1,$142.99,$142.99
NMEA 2000® Backbone / Drop Cable - 2M / 6',Black,010-11076-00,Final Rigging (CONSOLE) - OPTION,1 for the autopilot,,Garmin,STANDARD,garmin auto pilot,1,,$0.00
"O-Ring Fitting Kit, ORB-5 Male x 1/2"" NPT Female",SS,HF6012,Final Rigging (CONSOLE) - OPTION,"W / Autopilot
we need 2 of these to go on the pump for the verado kit",Dometic,Dometic,OPTION,garmin auto pilot,2,$20.39,$40.78
Hose Clamp #4,SS,HF04SS,Final Rigging (CONSOLE) - OPTION,"W / Autopilot
these go on the tee that connects all the return lines",Florida Industrial Supplies,Florida Industrial Supplies,OPTION,garmin auto pilot,4,$0.56,$2.24
"Compass, Flush Mount - White",White,RITC-F-82W,Final Rigging (CONSOLE) - OPTION,"goes on top of the conosle if no tower
you cant see with tower floor
color dependent",Seawide,Seawide,OPTION,compass,1,$112.36,$112.36
"Compass, Flush Mount - Black",Black,RITC-F-82B,Final Rigging (CONSOLE) - OPTION,"goes on top of the conosle if no tower
you cant see with tower floor
color dependent",Seawide,Seawide,OPTION,compass,1,$112.36,$112.36
"Adapter - 3/8"" Hose Barb x 3/8"" Hose Barb (Brass)",Brass,20XP66,Final Rigging (CONSOLE) - OPTION,"not used with t-top or autopilot
this is the return union if you have a tower",Grainger,Grainger,OPTION,garmin auto pilot,1,$5.92,$5.92
Hose Clamp #4,SS,HF04SS,Final Rigging (CONSOLE) - OPTION,"not used with t-top or autopilot
these go on the union for the return hose",Florida Industrial Supplies,Florida Industrial Supplies,OPTION,garmin auto pilot,2,$0.56,$1.12
Console Door Backing Plates,ALUMINUM,BBW0097,Final Rigging (CONSOLE),these allow us to drill and tap for the console doors,Adeptus,Adeptus,STANDARD,,3,$2.50,$7.50
Ram Bracket - Large 90*,SS,SL63SSBS-1,Final Rigging (CONSOLE),"2 go on the console door
2 go on the console after the trim is installed",Navico,Navico,STANDARD,,4,$7.51,$30.04
Door Rams 160 #,SS,STX20-160-1,Final Rigging (CONSOLE),for the conosle door to console,Navico,Navico,STANDARD,,2,$61.67,$123.34
locks for rams,SS,,Final Rigging (CONSOLE),we need these to lock on the rams to the brackets,,,STANDARD,,4,,$0.00
ROKK Wireless - Surface Fast Charge Waterproof Wireless Phone Charger,Black,060-3817,Final Rigging (CONSOLE) - OPTION,this is the charger for on top of the console for wirless charging ,ScanStrut,Boat Outfitters,OPTION,wirless charger,1,$69.00,$69.00
"ROKK Wireless - Nano 10W. Waterproof Wireless Compact Phone Charging Mount, 12/24V",Black,SC-CW-11F,Final Rigging (CONSOLE) - OPTION,this is the charger that holds the phone and charges,ScanStrut,West Marine,OPTION,wirless charger,1,$105.55,$49.29
Relay Harness - 3P- mercury waterproof relay,Black,888429K11,Final Rigging (CONSOLE) - OPTION,"W / Light Bar
this relay allows us to have a higher amperage then our switch",Mercury Marine,Mercury Marine,OPTION,light bar,1,$11.11,$11.11
Relay Harness - 3P- mercury waterproof relay,Black,888429K11,Final Rigging (CONSOLE) - OPTION,"W / Extra Macerator-side fishboxes
this relay allows us to have a higher amperage then our switch",Mercury Marine,Mercury Marine,OPTION,underwater lights,1,$11.11,$11.11
"GHS 11 Remote Mic, Full Function Headset",Black,010-01759-00,Final Rigging (CONSOLE) - OPTION,this is a remote vhf mic that we put on the stbd side foot rest of the console,Garmin,Garmin,OPTION,vhf,1,$159.24,$159.24
VHF 215 AIS Marine Radio,Black,010-02098-00,Final Rigging (CONSOLE) - OPTION,we install this vhf inside the console,Garmin,Garmin,OPTION,vhf,1,$454.99,$454.99
VHF Backing Plate,Black,,Final Rigging (CONSOLE) - OPTION,goes with the 215 vhf to mount to console,,Waterway Systems,OPTION,vhf,1,,$0.00
Garmin Cortex AIS,Black,010-02814-20,Final Rigging (CONSOLE) - OPTION,we install this vhf inside the console - very rare request,Garmin,Garmin,OPTION,vhf,1,"$1,234.99","$1,234.99"
Garmin AIS™ 800 Blackbox Transceiver,Black,010-02087-00,Final Rigging (CONSOLE) - OPTION,This is dedicated AIS out. Hook up to digital antenna AIS/VHF,Garmin,Garmin,OPTION,vhf,1,$649.99,$649.99
RS40-B Marine VHF Radio,Black,000-14473-001,Final Rigging (CONSOLE) - OPTION,"simrad
we install this vhf inside the console",Navico,Navico,OPTION,vhf,1,"$1,199.00","$1,199.00"
HS40 Wireless Handset,Black,000-14475-001,Final Rigging (CONSOLE) - OPTION,"simrad
this is a remote vhf mic that we put on the stbd side foot rest of the console",Navico,Navico,OPTION,vhf,1,$249.99,$249.99
VHF Connector End,Brass,PL-259-CP-G,Final Rigging (CONSOLE) - OPTION,"Need W / VHF
allows us to run the vhf wire thru the frame work and then isntall this to hook up to vhf",CWR Distribution,CWR Distribution,OPTION,vhf,1,$10.95,$10.95
NMEA 2000® Backbone / Drop Cable - 2M / 6',Black,010-11076-00,Final Rigging (CONSOLE),1 per vhf,Garmin,Garmin,STANDARD,,1,$22.74,$22.74
GMS 10 Network Port Expander,Black,010-00351-00,Final Rigging (CONSOLE) - OPTION,rarley used only if need many rj45 ports,Garmin,Garmin,OPTION,garmin,1,$175.49,$175.49
"BusBar Common Screw Terminal 5x8-32, 100A",SS,BS-2304,Final Rigging (CONSOLE) - OPTION,"W / Simrad
to union all the yellow turn on wires",Marinco,Marinco,OPTION,simrad,1,$5.85,$5.85
Porta Potti - Curve 565,White,92306,Final Rigging (CONSOLE) - OPTION,,CWR Distribution,CWR Distribution,OPTION,porta potti,1,$148.36,$148.36
Hold Plate For Porta Potti,White,92415,Final Rigging (CONSOLE) - OPTION,,CWR Distribution,CWR Distribution,OPTION,porta potti,1,$20.40,$20.40
NMEA 2000® Backbone / Drop Cable - 6M / 19',Black,010-11076-01,Final Rigging (CONSOLE) - OPTION,"W / Dometic Trim Tabs
only used on the highest end model
goes from console to upperstation",Garmin,Garmin,OPTION,trim tab,1,$25.99,$25.99
"Friction Hinge - 2"" x 3"" FM",SS,FH-2228-FM,Final Rigging (HATCHES),"2 on front baitwell-#11
3 on big fish box-c hatch
2 on 55g fish box-#3
2 on prt fish box-#3
2 on stbd fish box-#3
3 on console door
2 on LP hatch
4 on rear bench seat-#13",Gemlux,Gemlux,STANDARD,,20,$29.20,$584.00
"Friction Hinge - 2"" x 3"" FM",SS,FH-2228-FM,Final Rigging (HATCHES) - OPTION,"W / Forward Seating
2 on front fwd seat
2 on port fwd seat
2 on stbd fwd seat",Gemlux,Gemlux,OPTION,fwd seat,6,$29.20,$175.20
"Friction Hinge - 2.11"" x 3"" SU",SS,FH-2228-SU,Final Rigging (HATCHES),"Rod Lockers
these are full open and go 2 on prt and 2 on stbd rod lockers",Gemlux,Gemlux,STANDARD,,4,$29.20,$116.80
"Friction Hinge - 2.32"" x 2"" FM",SS,FH-1212-FM,Final Rigging (HATCHES),"2 go on anchor hatch-#7
2 on port 2 on stbd rear baitwell hatches- I (4 total)",Gemlux,Gemlux,STANDARD,,6,$23.81,$142.86
"Cam Latch  - 2"" Non-Locking, Straight Cam Kit",SS,6024-115S,Final Rigging (HATCHES),"1 on front baitwell
1 on large fishbox
1 on 55g fish box
1 on port fish box
1 on stbd fish box
1 on LP hatch",Gemlux,Gemlux,STANDARD,,6,$44.51,$267.06
"Cam Latch  - 2"" Non-Locking, Straight Cam Kit",SS,6024-115S,Final Rigging (HATCHES),FWD Seating Insert Hatch,Gemlux,Gemlux,OPTION,fwd seat,3,$44.51,$133.53
Catch Slot,SS,1561,Final Rigging (HATCHES),"FWD Seating Insert Hatch
these go in the fwd seat so we can use the cam latches",Gemlux,Gemlux,OPTION,fwd seat,3,$6.45,$19.35
"Cam Latch - 2"" Locking, Straight Cam Kit",SS,6024-145S,Final Rigging (HATCHES),"Console Door
allows us toi lock the console",Gemlux,Gemlux,STANDARD,,1,$44.51,$44.51
Console Door Latch - Inside Close,SS,390-L,Final Rigging (HATCHES),OPTION IF PORTAPOTTY OR PLUMMED HEAD IS CHOSEN,,Midwest Marine,OPTION,porti potti,1,$110.45,$110.45
"Slam Latch - 2"" Non-Locking, Beveled Face Kit",SS,5151-KIT,Final Rigging (HATCHES),"Rear Baitwell
1 on port
1on stbd",Gemlux,Gemlux,STANDARD,,2,$23.81,$47.62
"Slam Latch - 2"" Non-Locking, Beveled Face Kit",SS,5151-KIT,Final Rigging (HATCHES),"W / Forward Seating
1 on front fwd seat
1 on port fwd seat
1 on stbd fwd seat",Gemlux,Gemlux,OPTION,fwd seat,3,$23.81,$71.43
"Slam Latch - 2"" Locking, Beveled Face, Long Kit",SS,5164-KIT,Final Rigging (HATCHES),"Anchor (1)
Rod Lockers (2)
Bench Seat (2)",Gemlux,Gemlux,STANDARD,,5,$39.90,$199.50
Small Gemini Keeper,SS,5151-KEEPER,Final Rigging (HATCHES),"Anchor (1)
Rod Lockers (2)",Gemlux,Gemlux,STANDARD,,3,$0.89,$2.67
"Door Latch / Ball Latch 2"" x 3/8"", SS",SS,1340,Final Rigging (HATCHES),"Battery Hatch
this is the hatch in the console liner",Gemlux,Gemlux,STANDARD,,1,$12.86,$12.86
"Latch Catch, Extra Long",SS,5037A,Final Rigging (HATCHES),"Bench Seat-#13 hatch
fwd seating front",Adeptus,Adeptus,STANDARD,,3,$4.21,$12.63
"Gas Strut - 15"" (8mm x 18mm Cylinder)",SS,ST33-60-1,Final Rigging (HATCHES),"2 go on rear bench hatch-#13 hatch
1 goes on large fish box",Navico,Navico,STANDARD,,3,$20.03,$60.09
"Ram Bracket - 90*, 5-Hole",SS,SL46SSP3-1,Final Rigging (HATCHES),"2 go on rear bench-#13 hatch
2 go on boat side rear bench hatch
1 goes on large fishbox hatch- c",Navico,Navico,STANDARD,,5,$3.92,$19.60
"Ram Bracket - Flat, 2-Hole",SS,SL40SSP3-1,Final Rigging (HATCHES),1 goes on large fishbox boat side,Navico,Navico,STANDARD,,1,$2.17,$2.17
"Continous Hinge / Piano Hinge - 6"" x 1-1/2"", SS",SS,1605A83,Final Rigging (HATCHES),used on batter access hatch-#12,Donovan Marine,Donovan Marine,STANDARD,,1,$83.24,$83.24
"Eye Strap / Camel Back - 1-5/8"" x 9/16"", SS",SS,RF134,Final Rigging (HATCHES),"2-used on rear bench hatch-#13
these ones go on the 5 hole 90 ram bracket
2 used on boat side rear bench",West Marine,West Marine,STANDARD,,4,$2.88,$11.52
"Teak Isle Door - 17""",White,20152-305710,Final Rigging (LINER),"these go on the port and stbd side of the console liner
the latch towards the back
color dependent",Teak Isle,Teak Isle,STANDARD,,2,$255.91,$511.82
"Teak Isle Door - 17""",Black,20152-317367,Final Rigging (LINER),"these go on the port and stbd side of the console liner
the latch towards the back
color dependent",Teak Isle,Teak Isle,STANDARD,,2,$307.29,$614.58
Teak Isle Door - MDI CZ Door,White,500-0002,Final Rigging (LINER),"this is the largest door that w euse on the conosole liner it comes from teak ilse then goes to MDI where they add the c-zone OI modules and harness
color dependent",MDI,MDI,STANDARD,,1,"$2,365.83","$2,365.83"
Teak Isle Door - MDI CZ Door,Black,500-0018,Final Rigging (LINER),"this is the largest door that w euse on the conosole liner it comes from teak ilse then goes to MDI where they add the c-zone OI modules and harness
color dependent",MDI,MDI,STANDARD,,1,"$2,278.20","$2,278.20"
MDI Battery Switch Panel,Black,500-0011,Final Rigging (LINER),"this goe on the stbd side above the battery access hatch-#12
only changes if dual engine",MDI,MDI,STANDARD,,1,"$1,763.76","$1,763.76"
"GPS / Door Access - 27"" x 15""",White,20152-305711,Final Rigging (LINER),"this is the fold down access hatch for the MFD access
color dependent",Teak Isle,Teak Isle,STANDARD,,1,$303.96,$303.96
"GPS / Door Access - 27"" x 15""",Black,20152-317366,Final Rigging (LINER),"this is the fold down access hatch for the MFD access
color dependent",Teak Isle,Teak Isle,STANDARD,,1,$304.22,$304.22
"Aurora Dome Light, 5k White / Blue - White",White,101075,Final Rigging (LINER),this goe on the top of the inside of the liner,Lumitec,Lumitec,STANDARD,,1,$85.07,$85.07
Seakeeper One,White,90510,Final Rigging (LINER) - OPTION,,Seakeeper,Seakeeper,OPTION,seakeeper,1,"$14,365.00","$14,365.00"
Seakeeper Installation Plate,Black,90564-4,Final Rigging (LINER) - OPTION,W / Seakeeper,Seakeeper,Seakeeper,OPTION,seakeeper,1,"$1,050.00","$1,050.00"
Seakeeper BlueNet Cable,Black,20617,Final Rigging (LINER) - OPTION,W / Seakeeper,Seakeeper,Seakeeper,OPTION,seakeeper,1,$120.00,$120.00
Seaflow Seawater Pump,Black,30331-4SP,Final Rigging (LINER) - OPTION,W / Seakeeper,Seakeeper,Seakeeper,OPTION,seakeeper,1,$248.00,$248.00
Hose Clamp #5,SS,HF05SS,Final Rigging (LINER) - OPTION,W / Seakeeper,Florida Industrial Supplies,Florida Industrial Supplies,OPTION,seakeeper,4,$0.39,$1.56
"Utility Grommet / Rod Grommet - 2-3/4"" OD",White,UG-2-FW,Final Rigging (LINER) - OPTION,W / Seakeeper,William F. Miller,William F. Miller,OPTION,seakeeper,1,$2.11,$2.11
"Utility Grommet / Rod Grommet - 2-3/4"" OD",Black,UG-2-DP,Final Rigging (LINER) - OPTION,W / Seakeeper,William F. Miller,William F. Miller,OPTION,seakeeper,1,$2.11,$2.11
"Impact Drain - 1""",White,IPD-1002,Final Rigging (LINER) - OPTION,W / Seakeeper,William F. Miller,William F. Miller,OPTION,seakeeper,2,$2.01,$4.02
"Impact Drain - 1""",Black,IPD-1000,Final Rigging (LINER) - OPTION,W / Seakeeper,William F. Miller,William F. Miller,OPTION,seakeeper,2,$2.01,$4.02
Hose Clamp #6,SS,HF06SS,Final Rigging (LINER) - OPTION,W / Seakeeper,Florida Industrial Supplies,Florida Industrial Supplies,OPTION,seakeeper,4,$0.56,$2.24
House Batteries ,Black,ODX-AGM31,Final Rigging (LINER) - OPTION,W / Seakeeper,Battery USA,Battery USA,OPTION,seakeeper,2,$364.69,$729.38
House Batteries ,Black,ODX-AGM31,Final Rigging (LINER) - OPTION,W / Seakeeper + Dual Engine,Battery USA,Battery USA,OPTION,seakeeper/dual engine,1,$364.69,$364.69
Battery Breaker Panel,Black,,Final Rigging (LINER) - OPTION,W / Seakeeper + Dual Engine,Waterway Systems,Waterway Systems,OPTION,seakeeper/dual engine,1,$120.00,$120.00
"Breaker, Panel Mount, 60A",Black,004-0038,Final Rigging (LINER) - OPTION,W / Seakeeper,Defender,Defender,OPTION,seakeeper,3,$40.99,$122.97
"Breaker 187, Surface Mount, 80A",Black,7142-BSS,Final Rigging (LINER) - OPTION,W / Seakeeper,Marinco,Marinco,OPTION,seakeeper,1,$37.13,$37.13
"Breaker, Surface Mount, 15A",Black,26111700,Final Rigging (LINER) - OPTION,W / Seakeeper,Boat Outfitters,Boat Outfitters,OPTION,seakeeper,1,$34.20,$34.20
"1/2"" Vented Loop",White,,Final Rigging (LINER) - OPTION,W / Seakeeper,William F. Miller,William F. Miller,OPTION,seakeeper,1,$51.55,$51.55
House Batteries ,Black,ODX-AGM34M,Final Rigging (LINER),these go in the console liner under the battery access hatch-#12,Battery USA,Battery USA,STANDARD,,2,$291.41,$582.82
Engine Batteries,Black,OXD-AGM34M,Final Rigging (LINER),this goes in the console liner under the battery access hatch-#12,Battery USA,Battery USA,STANDARD,,1,$291.41,$291.41
Engine Batteries,Black,OXD-AGM34M,Final Rigging (LINER),W / Dual Engine,Battery USA,Battery USA,OPTION,dual engine,1,$291.41,$291.41
Battery Tray W / SS Buckle - 24 Series,Black,NBH-24-SSC-DP,Final Rigging (LINER),these go in the console liner under the battery to hold the batteries access hatch-#12,William F. Miller,William F. Miller,STANDARD,,3,$9.43,$28.29
Battery Boot - Red,Red,TBCS20-R,Final Rigging (LINER),1 on each positive pos,Pacer,Pacer,STANDARD,,3,$2.01,$6.03
Battery Boot - Black,Black,TBCS20-B,Final Rigging (LINER),1 on each negative post,Pacer,Pacer,STANDARD,,3,$2.01,$6.03
Garmin GSD25,Black,010-01159-00,Final Rigging (LINER) - OPTION,sonar module goes on the port door of the c-zone door,Garmin,Garmin,OPTION,sounder,1,$617.49,$617.49
Simrad S3100 High Frequency Sonar Module,Black,000-15918-00,Final Rigging (LINER) - OPTION,sonar module goes on the port door of the c-zone door,Navico,Navico,OPTION,sounder,1,$754.83,$754.83
"BusBar Common Screw Terminal 5x8-32, 100A",SS ,BS-2304,Final Rigging (TOP),this is used for all the grounds on the top,Marinco,Marinco,STANDARD,,1,$5.85,$5.85
"Navigation Light, Contour Series, Surface Mount - PORT /RED",Aluminum,101577,Final Rigging (TOP),the top is molded for these,Lumitec,Lumitec,STANDARD,,1,$144.97,$144.97
"Navigation Light, Contour Series, Surface Mount - STBD / GREEN",Aluminum,101578,Final Rigging (TOP),the top is molded for these,Lumitec,Lumitec,STANDARD,,1,$144.97,$144.97
"Mirage Down Light, Glass, Flush Mount, White Dim/Red/Blue - WHITE",White,113190,Final Rigging (TOP),"map lights go above the LP
color dependent",Lumitec,Lumitec,STANDARD,,2,$77.90,$155.80
"Mirage Down Light, Glass, Flush Mount, White Dim/Red/Blue - WHITE",Black,B13158,Final Rigging (TOP),"map lights go above the LP
color dependent",Lumitec,Lumitec,STANDARD,,2,$77.90,$155.80
"Side / Front Spreader Light, Capri2 - WHITE",White,101099,Final Rigging (TOP),"1 goes in front of top
2 go on back of top
color dependent",Lumitec,Lumitec,STANDARD,,3,$136.24,$408.72
"Side / Front Spreader Light, Capri2 - BLACK",Black,101186,Final Rigging (TOP),"1 goes in front of top
2 go on back of top
color dependent",Lumitec,Lumitec,STANDARD,,3,$139.43,$418.29
"2""  (guess-not sure on size maybe  smaller) single 3/8 hole backing plate","in rig stock room 
show ross",,Final Rigging (TOP),"this is for the rear console leg to attach very cose to sunroof
round pipe only",,,,,2,,
Hardtop Washers,SS ,DAN003,Final Rigging (TOP),"these are small conical washers
8 are used for the outriggers",Dan Kuntz,Dan Kuntz,STANDARD,,8,$3.10,$24.80
Powder Coat - Hardtop Washers,WHITE,GP00006WHT,Final Rigging (TOP),,GG Schmitt,GG Schmitt,STANDARD,,12,$1.25,$15.00
Powder Coat - Hardtop Washers,TEX WHITE,GP00006TWHT,Final Rigging (TOP),,GG Schmitt,GG Schmitt,STANDARD,,12,$1.25,$15.00
Powder Coat - Hardtop Washers,BLACK,GP00006BLK,Final Rigging (TOP),,GG Schmitt,GG Schmitt,STANDARD,,12,$1.25,$15.00
Powder Coat - Hardtop Washers,TEX BLACK,GP00006TBLK,Final Rigging (TOP),,GG Schmitt,GG Schmitt,STANDARD,,12,$1.25,$15.00
"2""  (guess-not sure on size maybe  smaller) single 3/8 hole backing plate","in rig stock room 
show ross",,Final Rigging (TOP) - OPTION,"this is for the rear console leg to attach very cose to sunroof
round pipe only",,,,,2,,
Hardtop Washers,SS ,DAN003,Final Rigging (TOP) - OPTION,For a D pipe top with NO UPPER STATION,Dan Kuntz,Dan Kuntz,OPTION,d pipe,2,$3.10,$6.20
Powder Coat - Hardtop Washers,WHITE,GP00006WHT,Final Rigging (TOP) - OPTION,W / D-Pipe,GG Schmitt,GG Schmitt,OPTION,d pipe,2,$1.25,$2.50
Powder Coat - Hardtop Washers,TEX WHITE,GP00006TWHT,Final Rigging (TOP) - OPTION,W / D-Pipe,GG Schmitt,GG Schmitt,OPTION,d pipe,2,$1.25,$2.50
Powder Coat - Hardtop Washers,BLACK,GP00006BLK,Final Rigging (TOP) - OPTION,W / D-Pipe,GG Schmitt,GG Schmitt,OPTION,d pipe,2,$1.25,$2.50
Powder Coat - Hardtop Washers,TEX BLACK,GP00006TBLK,Final Rigging (TOP) - OPTION,W / D-Pipe,GG Schmitt,GG Schmitt,OPTION,d pipe,2,$1.25,$2.50
,,,,,,,,,,,$0.00
Hardtop Washers,SS ,DAN003,Final Rigging (TOP) - OPTION,2 for the rear console legs w d pipe,Dan Kuntz,Dan Kuntz,OPTION,d pipe,2,$3.10,$6.20
Powder Coat - Hardtop Washers,WHITE,GP00006WHT,Final Rigging (TOP) - OPTION,W / D-Pipe,GG Schmitt,GG Schmitt,OPTION,d pipe,2,$1.25,$2.50
Powder Coat - Hardtop Washers,TEX WHITE,GP00006TWHT,Final Rigging (TOP) - OPTION,W / D-Pipe,GG Schmitt,GG Schmitt,OPTION,d pipe,2,$1.25,$2.50
Powder Coat - Hardtop Washers,BLACK,GP00006BLK,Final Rigging (TOP) - OPTION,W / D-Pipe,GG Schmitt,GG Schmitt,OPTION,d pipe,2,$1.25,$2.50
Powder Coat - Hardtop Washers,TEX BLACK,GP00006TBLK,Final Rigging (TOP) - OPTION,W / D-Pipe,GG Schmitt,GG Schmitt,OPTION,d pipe,2,$1.25,$2.50
Hardtop Washers,SS ,DAN003,Final Rigging (TOP) - OPTION,these 4 are for the helm seat ,Dan Kuntz,Dan Kuntz,OPTION,helm seat,4,$3.10,$12.40
Powder Coat - Hardtop Washers,WHITE,GP00006WHT,Final Rigging (TOP) - OPTION,W / Upper Helm Seat,GG Schmitt,GG Schmitt,OPTION,helm seat,4,$1.25,$5.00
Powder Coat - Hardtop Washers,TEX WHITE,GP00006TWHT,Final Rigging (TOP) - OPTION,W / Upper Helm Seat,GG Schmitt,GG Schmitt,OPTION,helm seat,4,$1.25,$5.00
Powder Coat - Hardtop Washers,BLACK,GP00006BLK,Final Rigging (TOP) - OPTION,W / Upper Helm Seat,GG Schmitt,GG Schmitt,OPTION,helm seat,4,$1.25,$5.00
Powder Coat - Hardtop Washers,TEX BLACK,GP00006TBLK,Final Rigging (TOP) - OPTION,W / Upper Helm Seat,GG Schmitt,GG Schmitt,OPTION,helm seat,4,$1.25,$5.00
Anchor Light - LED All-Round Top Mount,WHITE,FO4468,Final Rigging (TOP),"this goes on th rod rack or the radar mount depending on application
color dependent",Amazon,Amazon,STANDARD,,1,$31.00,$31.00
Anchor Light - Series 5500 Waketower LED All-Round,BLACK,5580A7,Final Rigging (TOP),"this goes on th rod rack or the radar mount depending on application
color dependent",Navico,CWR Distribution,STANDARD,,1,$54.98,$54.98
Acrylic Front Windshield,WHITE FRET,BBW0175WHT,Final Rigging (TOP) - OPTION,"W / D-Pipe
only used with a d pipe top or tower
color dependent",Waterway Systems,Waterway Systems,OPTION,acrylic windshield,1,$400.00,$400.00
Acrylic Front Windshield,BLACK FRET,BBW0175BLK,Final Rigging (TOP) - OPTION,"W / D-Pipe
only used with a d pipe top or tower
color dependent",Waterway Systems,Waterway Systems,OPTION,acrylic windshield,1,$400.00,$400.00
3-Sided Acrylic Front Windshield,WHITE FRET,BBW0176WHT,Final Rigging (TOP) - OPTION,"W / D-Pipe
only used with a d pipe top or tower
color dependent",Waterway Systems,Waterway Systems,OPTION,acrylic encloser,1,$400.00,$400.00
3-Sided Acrylic Front Windshield,BLACK FRET,BBW0176BLK,Final Rigging (TOP) - OPTION,"W / D-Pipe
only used with a d pipe top or tower
color dependent",Waterway Systems,Waterway Systems,OPTION,acrylic encloser,1,"$1,200.00","$1,200.00"
3-Sided Polycarbonate Enclosure (Eisenglass),Clear,BBW0106,Final Rigging (TOP) - OPTION,"ktm makes per boat
can go with eithe frame design",KTM,KTM,OPTION,eisenglass,1,"$2,080.00","$2,080.00"
